Year,Company/Brand,Sector,Stage,Amount($),HeadQuarter
2018,Aavas Financiers,Finance,Debt Financing,24000000.0,Jaipur
2018,Milkbasket,Technology,Series A,7000000.0,Haryana
2018,Nutrisattva (Proliva),Lifestyle,Angel,17030531.594164457,Anand
2018,Jagaran Microfin,Agriculture,Debt Financing,6600000.0,Kolkata
2018,Vivriti Capital,Finance,Unknown,28500000.0,Chennai
2018,Be U Salons,Technology,Seed,360000.0,New Delhi
2018,Impact Guru,Technology,Series A,2000000.0,Mumbai
2018,MobiKwik,Technology,Later Stage,2880000.0,Gurgaon
2018,Stones2Milestones,Education,Seed,17030531.594164457,Gurgaon
2018,Generico,Health,Series A,17030531.594164457,Mumbai
2018,Adiuvo Diagnostics,Agriculture,Seed,17030531.594164457,Chennai
2018,DataTrained,Technology,Seed,1440000.0,Bengaluru
2018,OneAssist,Technology,Debt Financing,2400000.0,Mumbai
2018,Moglix,Technology,Series C,23000000.0,Noida
2018,SEDEMAC Mechatronics,Transport,Unknown,17030531.594164457,Mumbai
2018,MadGuy Labs,Education,Unknown,150000.0,Hyderabad
2018,Dee Dee Labs,Technology,Seed,17030531.594164457,Pune
2018,FLEECA,Agriculture,Seed,17030531.594164457,Jaipur
2018,Shop101,Technology,Series B,11000000.0,Mumbai
2018,FeedMyPockets,Business Intelligence,Seed,528000.0,Bengaluru City
2018,Housejoy,Technology,Series B,3240000.0,Bengaluru
2018,Ambee,Health,Angel,17030531.594164457,Bengaluru
2018,FoodBuddy,Technology,Seed,720000.0,Belgaum
2018,Olly Smart Credit Card,Technology,Seed,17030531.594164457,New Delhi
2018,Zestl,Technology,Seed,17030531.594164457,Pune
2018,Wakefit,Commerce,Unknown,7800000.0,Bengaluru
2018,Hero Electric,Agriculture,Unknown,19200000.0,New Delhi
2018,Pentation Analytics,Technology,Seed,17030531.594164457,Mumbai
2018,PerkFinance,Technology,Seed,900000.0,Bengaluru
2018,Roposo,Technology,Series C,10000000.0,Gurgaon
2018,Plum Goodness,Beauty & Fashion,Series A,17030531.594164457,Thane
